item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,champlvl,pinksbought,firstblood,win
3748,2003,3111,3053,1419,1042,6,10,1,2,2,2,643,2,0,0,0,96980,25154,65433,6392,0,9101,15160,1,23998,1826,1170,14,0,41446,13270,24957,3218,10497,10275,0,0,42,69,13,0,0,0
2301,3111,3190,3107,0,0,0,2,12,0,0,0,1116,0,0,0,0,25995,17633,6295,2066,0,8478,11707,5,9402,1943,1852,30,0,17769,7945,7688,2136,9496,7975,1,0,17,1,14,1,0,0
1055,3072,3006,3031,3046,1036,7,8,5,5,2,1,584,2,0,0,0,171568,1725,169576,266,1042,14425,2283,2,16612,5094,2128,26,0,25627,12538,11094,1993,13136,11775,0,0,205,3,14,1,0,0
1029,3078,3156,1001,3053,0,5,11,2,2,1,1,300,0,0,0,0,113721,989,109563,3168,455,15267,4252,1,27174,8263,8263,5,0,31705,10280,19506,1918,11006,10683,3,0,164,6,15,0,0,0
3020,1058,3198,3102,1052,1026,2,8,2,0,1,0,504,0,0,0,0,185302,166671,16867,1763,0,18229,1525,1,14616,3801,1724,15,0,20585,6850,11119,2615,11439,10485,1,0,235,4,15,0,0,0
1400,3111,3078,3742,1033,3067,3,3,9,2,1,1,713,0,0,0,0,148791,29447,107327,12015,0,10587,10333,1,28569,16739,1180,18,0,22708,5293,16952,462,11885,11758,1,0,28,111,16,0,0,1
3025,3193,3068,3047,1028,3082,4,5,11,2,1,1,549,0,0,0,0,130692,118760,11580,351,0,15050,1401,1,44919,6156,3119,25,0,21719,2840,15798,3080,12192,11575,2,0,187,6,16,1,0,1
3135,3165,3089,3020,1058,3136,13,4,8,4,2,4,775,1,0,0,0,145731,86725,22692,36313,0,28090,4840,1,8269,19085,8160,12,0,19174,9771,8844,557,14940,13750,3,0,183,6,17,0,0,1
3046,3031,3006,3085,3072,1029,15,3,9,12,1,2,290,0,0,0,0,182680,1735,173731,7213,843,30749,2802,4,9815,20784,9993,12,0,17655,6801,10225,628,15970,14375,2,2,191,7,16,1,1,1
1058,2045,3092,3089,3113,3158,4,5,19,4,1,1,226,0,0,0,0,85785,67341,7979,10464,0,20021,3242,1,4389,3658,1126,71,0,13443,6639,6360,443,12978,11675,0,0,72,2,16,5,0,1
3092,2010,3158,1082,3165,0,2,7,5,0,1,0,489,0,0,0,0,46790,41813,4515,462,0,9197,104,1,4264,477,477,26,0,11576,4721,6673,182,7792,6925,1,0,36,2,12,3,0,0
3040,3165,1056,1052,0,0,2,8,6,0,1,0,338,0,0,0,0,62444,54560,7675,208,0,9339,3003,2,6217,0,0,16,0,16571,7180,8902,488,8544,7210,0,0,128,10,12,1,0,0
1038,1037,3087,3006,1018,1042,1,7,4,0,1,0,672,0,0,0,0,117896,25902,90755,1238,365,5909,494,1,11259,3070,3070,9,0,15955,4034,11448,472,9083,8100,0,0,114,49,13,1,1,0
3157,3158,3027,3100,1056,1058,9,7,11,4,1,3,399,0,0,0,0,129156,117800,11355,0,0,16047,3165,1,7726,721,721,13,0,20763,9437,10227,1098,13299,11600,0,0,189,1,16,0,0,0
1402,3100,3041,3020,3089,3135,19,3,8,9,2,2,1058,1,0,0,0,179252,134097,39536,5618,0,30236,5072,1,12558,160,160,20,0,21945,6192,14818,934,15808,17445,0,0,120,70,17,0,0,0
3046,3031,3085,1053,3006,3133,12,5,4,4,2,3,646,1,0,0,0,163342,404,159551,3386,1375,16767,3549,2,8361,11722,3810,18,0,19326,11518,7445,362,13979,12425,2,1,185,24,15,1,0,1
1055,3071,3142,3111,3134,1037,7,8,2,0,1,0,318,0,0,0,0,122919,3756,117645,1516,0,13073,2022,1,10911,7898,7898,25,0,19623,11907,7343,372,12122,9750,2,0,186,8,15,1,0,1
3165,3020,1026,3157,3285,1056,5,7,4,3,1,1,502,0,0,0,0,146754,130209,15451,1094,0,13794,709,1,5234,8532,8532,20,0,13999,7284,6239,474,12247,11850,5,0,199,3,15,2,0,1
3092,3165,1058,3020,1026,1052,3,7,13,3,1,1,699,0,0,0,0,35766,31952,3502,311,0,9696,558,1,5067,1298,1298,24,0,15091,10654,4278,158,10368,9260,0,1,35,0,13,3,0,1
3748,3155,3133,0,1419,3111,5,6,6,3,1,1,464,0,0,0,0,117790,27069,84572,6149,0,12571,15524,1,20222,9574,3328,19,0,30605,14091,15798,716,10990,9775,0,1,43,61,14,0,0,1
1038,3006,1053,1036,1036,3031,4,8,5,3,2,1,335,1,0,0,0,74879,140,74366,372,883,15856,2278,3,9028,383,383,4,0,18032,5662,10697,1672,8731,7950,0,0,113,3,11,0,0,0
3117,3801,3504,2302,1029,0,2,4,7,0,1,0,577,0,0,0,0,11242,8694,2310,238,0,2448,1938,6,7819,0,0,22,0,11722,4137,7029,556,6884,6225,0,0,10,0,11,0,0,0
1056,3113,0,3135,3165,3020,9,8,5,3,1,3,386,0,0,0,0,66424,52891,12704,828,0,15268,0,0,8920,2799,2799,12,0,15943,6649,7529,1764,9066,8450,1,0,91,0,13,0,0,0
1401,2031,3047,3001,3024,0,3,6,8,3,2,1,381,1,0,0,0,87826,64509,15471,7845,0,8656,5991,1,25312,0,0,13,0,23972,3897,18270,1803,8112,7750,0,0,25,71,13,1,0,0
3087,3153,3006,1055,0,0,2,6,2,0,1,0,352,0,0,0,0,76085,2281,66013,7790,411,7263,471,1,6421,962,962,11,0,15120,1123,13424,572,8049,7725,0,0,156,0,12,1,1,0
1026,3165,3020,3102,1058,1052,13,5,3,6,3,3,451,3,1,0,0,93334,53752,14160,25422,0,20841,1903,1,4867,8404,7104,13,0,13689,7463,5934,291,12174,9985,2,0,138,1,13,0,0,1
1400,3078,1033,3111,1036,0,8,5,9,4,1,2,625,0,0,0,0,98220,2153,89888,6178,0,11454,5344,1,14703,15260,3933,11,0,20103,5946,13354,803,10596,8458,1,0,6,69,13,0,0,1
1055,3031,1053,3085,3006,3086,4,3,6,2,1,1,633,0,0,0,0,136987,589,136397,0,1211,18608,504,1,6847,5929,5929,12,0,15078,2609,11713,755,11619,9850,2,1,205,8,14,0,0,1
2301,3047,3107,3105,1082,0,0,1,16,0,0,0,908,0,0,0,0,26324,15832,10083,408,0,6710,4237,5,4854,2900,2900,34,0,9826,1556,8202,67,8552,7200,0,0,13,0,12,2,0,1
3006,3153,3085,1038,0,0,7,6,7,3,1,1,475,0,0,0,0,81506,1326,76643,3537,335,11477,1841,3,5925,7880,7880,10,0,14282,4470,9391,420,10931,9000,1,1,137,9,12,0,0,1
3113,3135,3152,3157,3165,3020,11,8,7,5,2,2,523,1,0,0,0,128787,109362,17943,1481,613,29817,1855,1,8783,2763,2763,9,0,23520,12448,10438,633,14039,15275,2,0,184,9,16,1,0,0
1055,3031,3085,3006,3072,3026,10,9,11,2,1,3,565,0,0,0,0,151221,1016,148390,1814,820,30235,2886,4,14846,5423,3394,16,0,22460,4076,15689,2694,14329,13750,1,0,185,20,15,0,0,0
3153,1028,3077,3053,1419,3111,6,11,10,2,1,1,425,0,0,0,0,147647,38802,92621,16222,0,23640,21261,1,29356,28223,0,20,0,48907,13872,32261,2773,11986,11475,1,0,50,64,16,0,1,0
3742,1054,3111,3065,3068,3044,5,5,6,4,1,1,674,0,0,0,0,143555,51549,91052,952,0,16369,1953,1,49664,2327,2327,9,0,28496,9065,17272,2159,12672,11600,1,0,193,19,17,0,0,0
